,filename_prefix,Label,structure,PhysicalSize,Roundness,5-EU_0_Mean,5-EU_0_Skewness,SYTOX_0_Mean,SYTOX_0_Sum
185222,20210416_Timecourse5EU_s5_NA,1,nuclei,40.56,0.7190264689424152,36.083333333333336,0.2247060352593668,77.33333333333333,1856.0
185223,20210416_Timecourse5EU_s5_NA,2,nuclei,28.730000000000004,0.7989909693465161,26.764705882352946,-0.0420024148596154,62.8235294117647,1068.0
185224,20210416_Timecourse5EU_s5_NA,3,nuclei,2455.57,0.932929823404191,69.93048864418445,3.948465596998069,177.31314521679283,257636.0
185225,20210416_Timecourse5EU_s5_NA,4,nuclei,2553.59,0.9597239699235772,77.96360026472534,3.03576011227632,174.82263401720715,264157.0
185226,20210416_Timecourse5EU_s5_NA,5,nuclei,2830.7500000000005,0.9677461741000524,71.98268656716418,3.694849486102284,143.1402985074627,239760.0
185227,20210416_Timecourse5EU_s5_NA,6,nuclei,419.12000000000006,0.7026839192904806,24.56451612903226,1.2207357725285632,106.37903225806453,26382.0
185228,20210416_Timecourse5EU_s5_NA,7,nuclei,2867.9300000000003,0.9573578386855012,60.67825574543312,2.9921846684843327,142.85680612846198,242428.0
185229,20210416_Timecourse5EU_s5_NA,8,nuclei,2597.53,0.9572018829512454,63.28236824983735,2.773530227443424,178.73584905660377,274717.0
185230,20210416_Timecourse5EU_s5_NA,9,nuclei,684.45,0.881012423782767,93.71358024691358,2.396521056471766,256.2641975308642,103787.0
185231,20210416_Timecourse5EU_s5_NA,10,nuclei,723.32,0.6273454339315362,66.04439252336448,3.6848301867899895,144.8271028037383,61986.0
185232,20210416_Timecourse5EU_s5_NA,11,nuclei,2316.99,0.970111354231137,57.02698760029176,2.314193868009353,207.66301969365423,284706.0
185233,20210416_Timecourse5EU_s5_NA,12,nuclei,2232.49,0.9176547139960692,59.43603330809992,2.691449930460514,187.7433762301287,248009.0
185234,20210416_Timecourse5EU_s5_NA,13,nuclei,64.22000000000001,0.8449333504542511,21.07894736842105,0.6158031638288654,86.89473684210526,3302.0
185235,20210416_Timecourse5EU_s5_NA,14,nuclei,207.87000000000003,0.8541783379647849,20.38211382113821,0.3142092480130166,100.92682926829268,12414.0
185236,20210416_Timecourse5EU_s5_NA,15,nuclei,2254.46,0.9354817874444564,53.64467766116942,2.024711648098695,138.56221889055473,184842.0
185237,20210416_Timecourse5EU_s5_NA,16,nuclei,2861.17,0.9497185111455384,56.436503248671,2.546911709806656,154.17779090372122,261023.0
185238,20210416_Timecourse5EU_s5_NA,17,nuclei,2614.4300000000003,0.9595251432691094,72.71299288946348,2.1675855001362643,157.74789915966386,244036.0
185239,20210416_Timecourse5EU_s5_NA,18,nuclei,138.58,0.838261730896825,18.78048780487805,0.0174003399383064,72.91463414634147,5979.0
185240,20210416_Timecourse5EU_s5_NA,19,nuclei,605.0200000000001,0.7520316218539792,64.53351955307262,2.439824064702272,118.56424581005588,42446.0
185241,20210416_Timecourse5EU_s5_NA,20,nuclei,2844.2700000000004,0.9679035203779408,58.66904337492573,3.538251151050114,149.10814022578728,250949.0
185242,20210416_Timecourse5EU_s5_NA,21,nuclei,2533.3100000000004,0.8599063744220262,54.33022014676451,2.800527435065669,149.15943962641762,223590.0
185243,20210416_Timecourse5EU_s5_NA,22,nuclei,2266.2900000000004,0.962374309422706,57.63907531692767,3.867647990607904,212.9798657718121,285606.0
185244,20210416_Timecourse5EU_s5_NA,23,nuclei,2075.32,0.9562323727186322,68.32491856677524,2.89022791727919,206.26221498371336,253290.0
185245,20210416_Timecourse5EU_s5_NA,24,nuclei,3050.4500000000003,0.973559415822832,69.78171745152355,3.1863916116384523,176.66925207756233,318888.0
185246,20210416_Timecourse5EU_s5_NA,25,nuclei,3528.7200000000003,0.934590771320092,66.63984674329502,3.326413090185256,115.36302681992338,240878.0
185247,20210416_Timecourse5EU_s5_NA,26,nuclei,2528.24,0.9644793025653852,69.01804812834224,2.9477051184278094,163.10695187165774,244008.0
185248,20210416_Timecourse5EU_s5_NA,27,nuclei,114.92000000000002,0.7284728314530181,58.89705882352941,1.7284415869677,130.22058823529412,8855.0
185249,20210416_Timecourse5EU_s5_NA,28,nuclei,2418.3900000000003,0.9504174415601576,59.89098532494759,2.7949314765404627,158.27323549965058,226489.0
185250,20210416_Timecourse5EU_s5_NA,29,nuclei,2685.4100000000003,0.9650956480525998,62.61044682190057,2.7968108691765665,170.65953429830083,271178.0
185251,20210416_Timecourse5EU_s5_NA,30,nuclei,1676.4800000000002,0.9386803589341745,59.211693548387096,0.8835322444806705,139.70866935483872,138591.0
185252,20210416_Timecourse5EU_s5_NA,31,nuclei,272.09000000000003,0.6284601162301631,49.81366459627329,1.823182723449733,98.8136645962733,15909.0
185253,20210416_Timecourse5EU_s5_NA,32,nuclei,2303.4700000000003,0.8880944278758327,64.86647101980924,2.9184311542316443,205.2281731474688,279726.0
185254,20210416_Timecourse5EU_s5_NA,33,nuclei,3190.7200000000003,0.8820399571230445,71.57680084745763,3.1014291617868164,92.66896186440678,174959.0
185255,20210416_Timecourse5EU_s5_NA,34,nuclei,3209.3100000000004,0.9707024907019116,63.52975250131648,3.3686104189445603,112.7230121116377,214061.0
185256,20210416_Timecourse5EU_s5_NA,35,nuclei,2191.9300000000003,0.9595640971201198,59.9313801079414,1.99079094159742,160.562066306862,208249.0
185257,20210416_Timecourse5EU_s5_NA,36,nuclei,2075.32,0.9647573210788738,90.10830618892508,2.11433637004614,190.66938110749183,234142.0
